work_id,track_id
1,2164817
1,17449579
8,2499683
19,16067451
19,20551001
20,625580
20,18755002
32,1695607
32,18783384
33,1203872
35,19501376
49,4412449
53,5972
58,1542069
58,3007917
58,5926262
58,12265113
58,16360724
58,16410970
67,808972
73,20149
73,484632
91,3255593
100,931873
100,997462
100,5925238
105,9025157
105,11600103
105,20028588
105,20395294
109,19114
111,9961200
113,12274930
123,1003727
123,1045099
126,713362
182,19548685
186,659509
186,5758912
187,15985
187,1448293
190,11476567
190,16317987
190,20029159
197,3263613
199,432758
202,2141561
202,2735048
202,12668000
205,3259
207,19055372
211,20090
211,19467006
212,1561206
225,1072047
225,18319242
258,18095711
286,1045927
294,18126383
297,974017
308,3776960
312,1822079
318,18758491
325,1056102
331,13008
342,1520869
346,2107261
353,477247
353,3240996
379,871225
379,9964361
379,18020638
417,19134725
418,20349613
435,13833387
446,805952
446,11758248
446,19494754
447,649093
447,1407100
452,15106270
468,12677028
468,17449581
475,3398453
475,14901151
475,14901152
488,20029168
488,20035691
488,20296050
489,15383443
489,19702861
493,2596605
493,18236141
493,18655315
493,18655320
493,18735933
493,20301735
494,54538
507,594120
507,1424234
507,1653426
507,5745198
507,9720000
507,13652075
519,283191
524,10055530
524,14261533
525,16355844
527,15571
555,2559990
569,17255440
575,19684102
596,5829651
596,9064300
596,20269839
614,1107139
614,1720835
647,3686904
649,3276648
649,16297798
650,967388
650,1769105
652,853376
659,1761030
659,18309401
659,18754991
659,19307614
668,979424
669,47016
669,1482908
669,16170102
670,389867
674,19249054
680,849580
680,19272690
682,18599
712,1053301
723,824688
729,19182086
740,1871266
740,16069121
746,17769690
760,14140177
768,1126008
780,249709
780,283508
785,18849277
789,14285409
790,1211977
793,13420153
813,9000
813,20102485
822,6361978
822,18238502
836,1251952
836,18712896
838,12447
838,9961138
841,941666
842,249766
855,1999121
858,494937
871,13539280
871,19128897
871,19182433
871,19702868
892,1107336
892,1557762
899,17546427
905,10488056
906,1507959
906,2560984
906,14242383
913,241035
913,249822
913,2499767
926,249836
931,20420969
937,20177426
948,803663
948,12673679
959,2933031
960,20056489
967,12130616
967,13363900
967,19075528
967,19078750
967,19295223
1013,645342
1013,984253
1013,1110788
1013,3549377
1013,11195798
1013,13616716
1013,13927547
1021,1581395
1021,11997429
1023,16340978
1029,20165760
1049,13110540
1050,19944078
1056,18614517
1065,1513288
1067,880482
1068,535847
1069,1457853
1074,250008
1080,456842
1080,11563142
1090,496124
1093,19648663
1095,2149255
1112,19172787
1112,20029272
1112,20209937
1114,20306288
1116,11972457
1116,20454986
1118,20550998
1125,18664650
1130,2199956
1133,394664
1151,890817
1154,909559
