work_id,track_id
1,10429754
1,11605350
1,19629
1,23880
1,2579550
1,579191
1,705173
1,9719992
10,11493
10,15106264
10,2578882
10,2595933
10,3255925
10,436852
10,48626
10,51351
100,10930
100,111040
100,2741153
100,28953
100,3094184
100,3223851
100,5292
100018,11337357
100018,12652075
100018,1748938
100018,306972
100018,3526949
100018,3527038
100018,3527039
100018,3527040
100018,3527041
100018,3527042
100018,3527043
100018,3527044
100018,3527045
100018,3527046
100018,3527047
100018,3527048
100018,3527049
100018,3527050
100018,3527051
100018,3527052
1001,1109504
1001,1199929
1001,13888201
1001,13888220
1001,18855
1001,47951
1001,9917099
10020,2052308
10020,2094525
10020,2120294
10020,2120322
10020,2453578
10020,889568
10022,1313126
10022,1318293
10022,2146712
10022,2446801
10022,2453907
10022,5810241
1002200,10082998
1002200,1060182
1002200,1060239
1002200,1183908
1002200,12234351
1002200,12348810
1002200,13172812
1002200,1436879
1002200,1542437
1002200,1936126
1002200,1938748
1002200,1949148
1002200,1988217
1002200,2012815
1002200,2019716
1002200,2036940
1002200,2170507
1002200,3272253
1002200,499170
1002200,532829
1002200,5376310
1002200,5980520
1002200,5982700
1002200,6000819
1002200,6019232
1002200,6032856
10022533,12252308
10022533,1500656
10022533,210139
10022533,2180291
10022533,2188012
10022533,2565880
10022533,2597981
10022533,3288025
10022533,3746392
10024972,13287699
10024972,1727962
10024972,6011886
10024972,820919
10025607,1234675
10025607,1564761
10025607,2626137
10025607,2626173
10025607,3478685
10026,1667050
10026,1930643
10026,1931535
10026,1943117
10026,2042981
10026,2090016
10026,2450211
10026,3549269
10026,506733
10026,560992
10026,9719802
10028681,11431916
10028681,12156474
10028681,12348018
10028681,12348019
10028681,9294544
10032573,12268068
10032573,1967436
10032573,1978739
10032573,1982554
10032573,1984772
10032573,1986107
10032573,1987657
10032573,1990417
10032573,1990950
10032573,2037725
10032573,2040140
10032573,5941857
10032573,5979958
10032573,5980597
10032573,6263677
10033,1353549
10033,16667559
10033,1762691
10033,5758767
10034,12303
10034,2091813
10034,961552
10034,976841
100363,1936410
100363,1964504
100363,2000915
100363,2043439
1004,10488929
1004,1138270
1004,1313082
1004,1346436
1004,1764025
1004,18690
1004,1988725
1004,2086352
1004,2093144
1004,2229200
1004,26126
1004,2933284
1004,422779
1004,5827867
1004,680889
1004,684087
1004,9097200
10040341,1971796
10040341,1975300
10040341,1988479
10040341,1991260
10040341,1993661
10042635,11142586
10042635,1978768
10042635,1981731
10042635,1982446
10042635,1986103
10042635,2033262
10042635,2033263
10042635,2037399
10042635,2338890
10042635,2339318
10042635,5943890
10042635,5971315
10042635,5972104
10042635,6188326
10042635,6191295
10042635,6192589
10042635,6193025
10042635,6193223
10042635,6206225
10042635,6264501
10042950,1972598
10042950,1979595
10042950,1981601
10042950,2332707
10042950,5823697
10042950,5943353
10042950,5943444
10042950,5979303
10042950,6189250
10042950,6190751
10042950,6191324
10042950,6192788
10042950,6263683
10046723,11433377
10046723,11972483
10046723,11996300
10046723,11996301
10046723,13244817
10047593,14154916
10047593,14274424
10047593,17960012
10047593,9423230
10051000,1087353
10051000,11584905
10051000,1749492
10051000,2436392
10051000,5813010
10055,1215186
10055,1920058
10055,1958483
10055,2032288
10055,2347490
10055,2626491
10055,2626496
10055,2638543
10055,28920
100559,15553
100559,33061
100559,371757
100559,653333
10056561,1228371
10056561,1250807
10056561,1448958
10056561,1522978
10056561,1852787
10056561,1853578
10056561,1870985
10056561,2497916
10056561,994519
10056609,1250793
10056609,1392203
10056609,1448959
10056609,1870949
10057475,2440507
10057475,3277499
10057475,3832897
10057475,5944414
10057475,5945520
10057484,2513454
10057484,2725893
10057484,2725894
10057484,2725902
10057484,2725903
10057563,3533499
10057563,4023115
10057563,5985012
10057563,5990813
1005766,1060176
1005766,1936121
1005766,2004042
1005766,2006663
1005771,1044349
1005771,1106965
1005771,1153681
1005771,617205
10058544,1983905
10058544,1984620
10058544,1984622
10058544,1984623
10058544,1984624
10058544,2088622
1005877,2582571
1005877,3291840
1005877,529067
1005877,7169
10061948,10879472
10061948,15482482
10061948,5841957
10061948,6291750
10065763,10406410
10065763,6265256
10065763,6265257
10065763,6265258
10067123,10274974
10067123,10274977
10067123,10356626
10067123,5749416
10067123,5765007
10067123,6123305
1006751,1053135
1006751,1175344
1006751,1990254
1006751,2002172
1006751,2146022
1006751,695014
100707,1270921
100707,12813587
100707,1288612
100707,579345
1007390,1093521
1007390,1949915
1007390,1961093
1007390,1969444
1007390,2003758
1007390,2011825
1007390,2038104
1007390,2044675
1007390,2074259
1007390,2093321
1007390,2107720
1007390,2492411
1007390,479954
10082959,1998458
10082959,2012963
10082959,2040819
10082959,2043229
1008455,1403170
1008455,2194194
1008455,3289974
1008455,651038
10085141,10003897
10085141,10067423
10085141,10477210
10085141,16209942
10085141,6301020
1008816,1058455
1008816,1110817
1008816,1112982
1008816,5969782
